start_date,end_date,observations,annualisation_days,annualised_return,annualised_mean_return,annualised_volatility,sharpe_ratio,maximum_drawdown,terminal_growth_of_one,fund,family,method,lookback_observations,rebalance_frequency,risk_free_rate,transaction_cost_bps,mean_one_way_turnover,latest_max_weight,latest_effective_holdings
2021-01-04,2023-12-29,753,252,0.14979185312494048,0.162209652730608,0.21251687241172795,0.7632789382310536,-0.28746987990265416,1.5175255920297193,Combined Equal Weight,Combined,equal_weight,252,monthly_first_observed_day,0.0,0.0,0.0,0.016666666666666666,60
2021-01-04,2023-12-29,753,252,0.18733825662480008,0.19426927933371368,0.2127342465633881,0.9132017175045088,-0.19782066873036586,1.6704581219225247,Combined Maximum Sharpe,Combined,max_sharpe,252,monthly_first_observed_day,0.0,0.0,0.2542600059014354,0.09999999999998965,15
2021-01-04,2023-12-29,753,252,0.061049218504817704,0.06714768680068205,0.12559938774573517,0.53461794683758,-0.1595843333184609,1.19371379876173,Combined Minimum Variance,Combined,min_variance,252,monthly_first_observed_day,0.0,0.0,0.11387030698452097,0.10000000000000002,23
2021-01-04,2023-12-29,753,252,0.13967754713299607,0.1436022997535027,0.16020159338774947,0.8963849654474403,-0.1983688319160115,1.4779849126486304,Combined Risk Parity,Combined,risk_parity,252,monthly_first_observed_day,0.0,0.0,0.022482204848334034,0.038059255362283474,60
2021-01-01,2023-12-31,1095,365,0.3418797885401821,0.6211773608255854,0.8042210448398298,0.7723963017522132,-0.815973061425794,2.4162442566426057,Crypto Equal Weight,Crypto,equal_weight,365,monthly_first_observed_day,0.0,0.0,0.0,0.1,10
2021-01-01,2023-12-31,1095,365,0.10648425714028287,0.38876112509162564,0.7552719521521226,0.5147299909441408,-0.8211378136325724,1.3546768765028303,Crypto Maximum Sharpe,Crypto,max_sharpe,365,monthly_first_observed_day,0.0,0.0,0.1646962447905502,0.24999999999999858,5
2021-01-01,2023-12-31,1095,365,0.6496160129513564,0.7832109161565074,0.7501646258025936,1.0440520509995495,-0.7309242851315421,4.488989515581551,Crypto Minimum Variance,Crypto,min_variance,365,monthly_first_observed_day,0.0,0.0,0.09264183353868391,0.25000000000000006,8
2021-01-01,2023-12-31,1095,365,0.3810170999045974,0.6331827196403781,0.7835848513784067,0.8080589083958735,-0.7985307184104427,2.6338871790249025,Crypto Risk Parity,Crypto,risk_parity,365,monthly_first_observed_day,0.0,0.0,0.012788066249966538,0.1551365778755857,10
2021-01-04,2023-12-29,753,252,0.049630402278216135,0.056322945432497065,0.12559102885172807,0.4484631262874003,-0.1622175665208868,1.1557363450495988,Equity Min Variance + Coverage-Aware Sentiment,Equity,coverage_sentiment,252,monthly_first_observed_day,0.0,0.0,0.1439120635139929,0.1,22
2021-01-04,2023-12-29,753,252,0.12643529221978822,0.13214045520431233,0.16166197477746672,0.8173873626510392,-0.20321862626913612,1.4272603332576042,Equity Equal Weight,Equity,equal_weight,252,monthly_first_observed_day,0.0,0.0,0.0,0.02,50
2021-01-04,2023-12-29,753,252,0.10263423800045723,0.11168197280831092,0.16704794902646264,0.6685623706198213,-0.19555272031822446,1.3390268466265118,Equity Maximum Sharpe,Equity,max_sharpe,252,monthly_first_observed_day,0.0,0.0,0.24557957988983822,0.09999999999999723,12
2021-01-04,2023-12-29,753,252,0.05991730322526201,0.06604901350005898,0.12535311303528712,0.5269036556073886,-0.15816802694324306,1.1899126714380963,Equity Minimum Variance,Equity,min_variance,252,monthly_first_observed_day,0.0,0.0,0.11255280402655972,0.09999999999999998,22
2021-01-04,2023-12-29,753,252,0.09954532129873339,0.10553931750931886,0.1458375932347789,0.7236770380557142,-0.18532161475590447,1.3278492486465738,Equity Risk Parity,Equity,risk_parity,252,monthly_first_observed_day,0.0,0.0,0.02037270540316728,0.041595285219535816,50
2021-01-04,2023-12-29,753,252,0.047263611776434455,0.05404030151035187,0.12539342466837128,0.43096599086652726,-0.16010502510112823,1.1479666709642131,Equity Min Variance + Sentiment,Equity,sentiment,252,monthly_first_observed_day,0.0,0.0,0.1598545045146689,0.1,22
